"kind","name","file","line","occurrences"
"def","_get_elev",".\robot_ui\scan_plot_item.py","123","2"
"def","_get_elev",".\ui_qml\robot_ui\scan_plot_item.py","97","2"
"def","_get_gap_range_str",".\robot_ui\scan_plot_item.py","225","2"
"def","_get_gap_range_str",".\ui_qml\robot_ui\scan_plot_item.py","144","2"
"def","_get_point_count",".\robot_ui\scan_plot_item.py","220","2"
"def","_get_point_count",".\ui_qml\robot_ui\scan_plot_item.py","139","2"
"def","_get_selected_info",".\robot_ui\scan_plot_item.py","215","2"
"def","_get_selected_info",".\ui_qml\robot_ui\scan_plot_item.py","134","2"
"def","_get_zoom",".\robot_ui\scan_plot_item.py","145","2"
"def","_get_zoom",".\ui_qml\robot_ui\scan_plot_item.py","121","2"
"def","_handle_tcp_client",".\ui_qml\robot_sim.py","147","2"
"def","_handle_tcp_client",".\ui_qml\RobotUI\adapter.py","150","2"
"def","_load_offsets_xml",".\robot_ui\scan_data_provider.py","47","2"
"def","_load_offsets_xml",".\ui_qml\robot_ui\scan_data_provider.py","48","2"
"def","_load_xml_points",".\robot_ui\scan_data_provider.py","26","2"
"def","_load_xml_points",".\ui_qml\robot_ui\scan_data_provider.py","27","2"
"def","_process_io_data",".\ui_qml\robot_comm\fanuc_eip_driver.py","247","2"
"def","_process_io_data",".\ui_qml\robot_comm\robot_comm_bridge.py","750","2"
"def","_register_session",".\ui_qml\robot_comm\fanuc_eip_driver.py","139","2"
"def","_register_session",".\ui_qml\robot_comm\robot_comm_bridge.py","680","2"
"def","_render_plot",".\robot_ui\scan_plot_item.py","379","2"
"def","_render_plot",".\ui_qml\robot_ui\scan_plot_item.py","254","2"
"def","_set_azim",".\robot_ui\scan_plot_item.py","137","2"
"def","_set_azim",".\ui_qml\robot_ui\scan_plot_item.py","112","2"
"def","_set_elev",".\robot_ui\scan_plot_item.py","126","2"
"def","_set_elev",".\ui_qml\robot_ui\scan_plot_item.py","100","2"
"def","_set_zoom",".\robot_ui\scan_plot_item.py","148","2"
"def","_set_zoom",".\ui_qml\robot_ui\scan_plot_item.py","124","2"
"def","_udp_rx_loop",".\ui_qml\robot_sim.py","271","2"
"def","_udp_rx_loop",".\ui_qml\RobotUI\adapter.py","295","2"
"def","_udp_tx_loop",".\ui_qml\robot_sim.py","321","2"
"def","_udp_tx_loop",".\ui_qml\RobotUI\adapter.py","335","2"
"def","can_access_page",".\robot_ui\app_state.py","28","2"
"def","can_access_page",".\robot_ui\permissions.py","20","2"
"def","centerX",".\robot_ui\scan_data_provider.py","194","2"
"def","centerX",".\ui_qml\robot_ui\scan_data_provider.py","214","2"
"def","centerY",".\robot_ui\scan_data_provider.py","198","2"
"def","centerY",".\ui_qml\robot_ui\scan_data_provider.py","218","2"
"def","centerZ",".\robot_ui\scan_data_provider.py","202","2"
"def","centerZ",".\ui_qml\robot_ui\scan_data_provider.py","222","2"
"def","connectRobot",".\ui_qml\robot_comm\robot_comm_bridge.py","323","2"
"def","connectRobot",".\ui_qml\robot_comm\robot_controller.py","50","2"
"def","cylinderRadius",".\robot_ui\scan_data_provider.py","218","2"
"def","cylinderRadius",".\ui_qml\robot_ui\scan_data_provider.py","238","2"
"def","delete_user",".\robot_ui\storage_users.py","58","2"
"def","delete_user",".\robot_ui\user_manager.py","105","2"
"def","disconnectRobot",".\ui_qml\robot_comm\robot_comm_bridge.py","515","2"
"def","disconnectRobot",".\ui_qml\robot_comm\robot_controller.py","54","2"
"def","draw_nominal_cylinder_yaxis",".\ui_qml\Plot_Points.py","122","2"
"def","draw_nominal_cylinder_yaxis",".\ui_qml\Plot_to_image.py","76","2"
"def","errorString",".\robot_ui\scan_data_provider.py","178","2"
"def","errorString",".\ui_qml\robot_ui\scan_data_provider.py","198","2"
"def","find_base_dir",".\ui_qml\main.py","59","3"
"def","find_base_dir",".\ui_qml\Plot_Points.py","23","3"
"def","find_base_dir",".\ui_qml\Plot_to_image.py","25","3"
"def","gapMax",".\robot_ui\scan_data_provider.py","190","2"
"def","gapMax",".\ui_qml\robot_ui\scan_data_provider.py","210","2"
"def","gapMin",".\robot_ui\scan_data_provider.py","186","2"
"def","gapMin",".\ui_qml\robot_ui\scan_data_provider.py","206","2"
"def","get_last_rx_ms",".\ui_qml\robot_comm\fanuc_eip_driver.py","74","2"
"def","get_last_rx_ms",".\ui_qml\RobotUI\adapter.py","407","2"
"def","get_robot_io",".\robot_ui\backend\robot_backend_base.py","40","3"
"def","get_robot_io",".\robot_ui\backend\robot_backend_mock.py","40","3"
"def","get_robot_io",".\robot_ui\backend\robot_backend_real.py","40","3"
"def","getActualPoints",".\robot_ui\scan_data_provider.py","230","2"
"def","getActualPoints",".\ui_qml\robot_ui\scan_data_provider.py","250","2"
"def","getAllRowData",".\robot_ui\scan_data_provider.py","265","2"
"def","getAllRowData",".\ui_qml\robot_ui\scan_data_provider.py","285","2"
"def","getBasePoints",".\robot_ui\scan_data_provider.py","224","2"
"def","getBasePoints",".\ui_qml\robot_ui\scan_data_provider.py","244","2"
"def","getGapColor",".\robot_ui\scan_data_provider.py","286","2"
"def","getGapColor",".\ui_qml\robot_ui\scan_data_provider.py","306","2"
"def","getGaps",".\robot_ui\scan_data_provider.py","236","2"
"def","getGaps",".\ui_qml\robot_ui\scan_data_provider.py","256","2"
"def","getPointInfo",".\robot_ui\scan_data_provider.py","251","2"
"def","getPointInfo",".\ui_qml\robot_ui\scan_data_provider.py","271","2"
"def","getPositions",".\robot_ui\scan_data_provider.py","246","2"
"def","getPositions",".\ui_qml\robot_ui\scan_data_provider.py","266","2"
"def","getSchedules",".\robot_ui\scan_data_provider.py","241","2"
"def","getSchedules",".\ui_qml\robot_ui\scan_data_provider.py","261","2"
"def","isLoaded",".\robot_ui\scan_data_provider.py","174","2"
"def","isLoaded",".\ui_qml\robot_ui\scan_data_provider.py","194","2"
"def","job",".\ui_qml\robot_comm\scan_plot_bridge.py","39","2"
"def","job",".\ui_qml\robot_comm\scan_plot_bridge.py","56","2"
"def","load_offsets_xml",".\ui_qml\Plot_Points.py","67","2"
"def","load_offsets_xml",".\ui_qml\Plot_to_image.py","52","2"
"def","load_users",".\robot_ui\storage_users.py","28","2"
"def","load_users",".\robot_ui\user_manager.py","21","2"
"def","load_xml_points",".\ui_qml\Plot_Points.py","30","2"
"def","load_xml_points",".\ui_qml\Plot_to_image.py","31","2"
"def","loadData",".\robot_ui\scan_data_provider.py","105","2"
"def","loadData",".\ui_qml\robot_ui\scan_data_provider.py","125","2"
"def","loadFromProvider",".\robot_ui\scan_plot_item.py","245","2"
"def","loadFromProvider",".\ui_qml\robot_ui\scan_plot_item.py","154","2"
"def","log",".\robot_ui\log_service.py","30","2"
"def","log",".\ui_qml\RobotUI\adapter.py","26","2"
"def","main",".\fanuc_eip_probe.py","223","6"
"def","main",".\test.py","9","6"
"def","main",".\ui_qml\main.py","66","6"
"def","main",".\ui_qml\Plot_Points.py","147","6"
"def","main",".\ui_qml\robot_sim.py","433","6"
"def","main",".\ui_qml\robot_sim_ui.py","128","6"
"def","paint",".\robot_ui\scan_plot_item.py","528","2"
"def","paint",".\ui_qml\robot_ui\scan_plot_item.py","399","2"
"def","pickPoint",".\robot_ui\scan_plot_item.py","312","2"
"def","pickPoint",".\ui_qml\robot_ui\scan_plot_item.py","210","2"
"def","pointCount",".\robot_ui\scan_data_provider.py","182","2"
"def","pointCount",".\ui_qml\robot_ui\scan_data_provider.py","202","2"
"def","sceneRadius",".\robot_ui\scan_data_provider.py","206","2"
"def","sceneRadius",".\ui_qml\robot_ui\scan_data_provider.py","226","2"
"def","setOutputWord",".\ui_qml\robot_comm\robot_comm_bridge.py","468","2"
"def","setOutputWord",".\ui_qml\robot_comm\robot_controller.py","58","2"
"def","start",".\ui_qml\robot_comm\fanuc_eip_driver.py","102","3"
"def","start",".\ui_qml\robot_sim.py","104","3"
"def","start",".\ui_qml\RobotUI\adapter.py","355","3"
"def","stop",".\ui_qml\robot_comm\fanuc_eip_driver.py","112","3"
"def","stop",".\ui_qml\robot_sim.py","125","3"
"def","stop",".\ui_qml\RobotUI\adapter.py","375","3"
"def","tick",".\robot_ui\backend\robot_backend_base.py","21","3"
"def","tick",".\robot_ui\backend\robot_backend_mock.py","21","3"
"def","tick",".\robot_ui\backend\robot_backend_real.py","21","3"
"def","yMax",".\robot_ui\scan_data_provider.py","214","2"
"def","yMax",".\ui_qml\robot_ui\scan_data_provider.py","234","2"
"def","yMin",".\robot_ui\scan_data_provider.py","210","2"
"def","yMin",".\ui_qml\robot_ui\scan_data_provider.py","230","2"
